GO.ID	Term	Annotated	Significant	Expected	Fisher
405	GO:0016811	hydrolase activity, acting on carbon-nit...	11	0	0.02	1.000
406	GO:0016814	hydrolase activity, acting on carbon-nit...	12	0	0.02	1.000
407	GO:0016817	hydrolase activity, acting on acid anhyd...	181	0	0.34	1.000
408	GO:0016818	hydrolase activity, acting on acid anhyd...	178	0	0.33	1.000
409	GO:0016829	lyase activity	111	0	0.21	1.000
410	GO:0016830	carbon-carbon lyase activity	47	0	0.09	1.000
411	GO:0016831	carboxy-lyase activity	34	0	0.06	1.000
412	GO:0016832	aldehyde-lyase activity	6	0	0.01	1.000
413	GO:0016833	oxo-acid-lyase activity	3	0	0.01	1.000
414	GO:0016835	carbon-oxygen lyase activity	39	0	0.07	1.000
415	GO:0016836	hydro-lyase activity	26	0	0.05	1.000
416	GO:0016838	carbon-oxygen lyase activity, acting on ...	13	0	0.02	1.000
417	GO:0016840	carbon-nitrogen lyase activity	5	0	0.01	1.000
418	GO:0016843	amine-lyase activity	3	0	0.01	1.000
419	GO:0016844	strictosidine synthase activity	3	0	0.01	1.000
420	GO:0016846	carbon-sulfur lyase activity	5	0	0.01	1.000
421	GO:0016849	phosphorus-oxygen lyase activity	4	0	0.01	1.000
422	GO:0016851	magnesium chelatase activity	3	0	0.01	1.000
423	GO:0016853	isomerase activity	111	0	0.21	1.000
424	GO:0016854	racemase and epimerase activity	4	0	0.01	1.000
425	GO:0016859	cis-trans isomerase activity	27	0	0.05	1.000
426	GO:0016860	intramolecular oxidoreductase activity	14	0	0.03	1.000
427	GO:0016861	intramolecular oxidoreductase activity, ...	8	0	0.01	1.000
428	GO:0016863	intramolecular oxidoreductase activity, ...	3	0	0.01	1.000
429	GO:0016864	intramolecular oxidoreductase activity, ...	3	0	0.01	1.000
430	GO:0016866	intramolecular transferase activity	37	0	0.07	1.000
431	GO:0016868	intramolecular transferase activity, pho...	11	0	0.02	1.000
432	GO:0016872	intramolecular lyase activity	6	0	0.01	1.000
433	GO:0016874	ligase activity	114	0	0.21	1.000
434	GO:0016875	ligase activity, forming carbon-oxygen b...	44	0	0.08	1.000
435	GO:0016877	ligase activity, forming carbon-sulfur b...	10	0	0.02	1.000
436	GO:0016879	ligase activity, forming carbon-nitrogen...	45	0	0.08	1.000
437	GO:0016880	acid-ammonia (or amide) ligase activity	5	0	0.01	1.000
438	GO:0016881	acid-amino acid ligase activity	10	0	0.02	1.000
439	GO:0016884	carbon-nitrogen ligase activity, with gl...	16	0	0.03	1.000
440	GO:0016886	ligase activity, forming phosphoric este...	3	0	0.01	1.000
441	GO:0016887	ATP hydrolysis activity	120	0	0.22	1.000
442	GO:0016891	endoribonuclease activity, producing 5'-...	9	0	0.02	1.000
443	GO:0016893	endonuclease activity, active with eithe...	11	0	0.02	1.000
444	GO:0016899	oxidoreductase activity, acting on the C...	5	0	0.01	1.000
445	GO:0016901	oxidoreductase activity, acting on the C...	5	0	0.01	1.000
446	GO:0016903	oxidoreductase activity, acting on the a...	21	0	0.04	1.000
447	GO:0016987	sigma factor activity	6	0	0.01	1.000
448	GO:0016992	lipoate synthase activity	4	0	0.01	1.000
449	GO:0017069	snRNA binding	6	0	0.01	1.000
450	GO:0017089	glycolipid transfer activity	5	0	0.01	1.000
451	GO:0017111	nucleoside-triphosphatase activity	159	0	0.3	1.000
452	GO:0017150	tRNA dihydrouridine synthase activity	4	0	0.01	1.000
453	GO:0017171	serine hydrolase activity	101	0	0.19	1.000
454	GO:0017176	phosphatidylinositol N-acetylglucosaminy...	3	0	0.01	1.000
455	GO:0018024	histone-lysine N-methyltransferase activ...	13	0	0.02	1.000
456	GO:0019001	guanyl nucleotide binding	148	0	0.27	1.000
457	GO:0019104	DNA N-glycosylase activity	8	0	0.01	1.000
458	GO:0019139	cytokinin dehydrogenase activity	5	0	0.01	1.000
459	GO:0019200	carbohydrate kinase activity	19	0	0.04	1.000
460	GO:0019203	carbohydrate phosphatase activity	7	0	0.01	1.000
461	GO:0019205	nucleobase-containing compound kinase ac...	14	0	0.03	1.000
462	GO:0019207	kinase regulator activity	10	0	0.02	1.000
463	GO:0019210	kinase inhibitor activity	5	0	0.01	1.000
464	GO:0019238	cyclohydrolase activity	7	0	0.01	1.000
465	GO:0019239	deaminase activity	8	0	0.01	1.000
466	GO:0019783	ubiquitin-like protein peptidase activit...	6	0	0.01	1.000
467	GO:0019787	ubiquitin-like protein transferase activ...	72	0	0.13	1.000
468	GO:0019789	SUMO transferase activity	5	0	0.01	1.000
469	GO:0019829	ATPase-coupled cation transmembrane tran...	8	0	0.01	1.000
470	GO:0019843	rRNA binding	19	0	0.04	1.000
471	GO:0019887	protein kinase regulator activity	10	0	0.02	1.000
472	GO:0019904	protein domain specific binding	10	0	0.02	1.000
473	GO:0020037	heme binding	197	0	0.37	1.000
474	GO:0022803	passive transmembrane transporter activi...	47	0	0.09	1.000
475	GO:0022804	active transmembrane transporter activit...	139	0	0.26	1.000
476	GO:0022824	transmitter-gated ion channel activity	10	0	0.02	1.000
477	GO:0022832	voltage-gated channel activity	11	0	0.02	1.000
478	GO:0022834	ligand-gated channel activity	10	0	0.02	1.000
479	GO:0022835	transmitter-gated channel activity	10	0	0.02	1.000
480	GO:0022836	gated channel activity	22	0	0.04	1.000
481	GO:0022853	active ion transmembrane transporter act...	43	0	0.08	1.000
482	GO:0022857	transmembrane transporter activity	339	0	0.63	1.000
483	GO:0022890	inorganic cation transmembrane transport...	102	0	0.19	1.000
484	GO:0030145	manganese ion binding	7	0	0.01	1.000
485	GO:0030151	molybdenum ion binding	6	0	0.01	1.000
486	GO:0030234	enzyme regulator activity	60	0	0.11	1.000
487	GO:0030246	carbohydrate binding	93	0	0.17	1.000
488	GO:0030247	polysaccharide binding	40	0	0.07	1.000
489	GO:0030274	LIM domain binding	3	0	0.01	1.000
490	GO:0030291	protein serine/threonine kinase inhibito...	5	0	0.01	1.000
491	GO:0030414	peptidase inhibitor activity	11	0	0.02	1.000
492	GO:0030545	signaling receptor regulator activity	3	0	0.01	1.000
493	GO:0030546	signaling receptor activator activity	3	0	0.01	1.000
494	GO:0030594	neurotransmitter receptor activity	10	0	0.02	1.000
495	GO:0030597	RNA glycosylase activity	4	0	0.01	1.000
496	GO:0030598	rRNA N-glycosylase activity	4	0	0.01	1.000
497	GO:0030599	pectinesterase activity	12	0	0.02	1.000
498	GO:0030695	GTPase regulator activity	17	0	0.03	1.000
499	GO:0030955	potassium ion binding	8	0	0.01	1.000
500	GO:0030976	thiamine pyrophosphate binding	8	0	0.01	1.000
501	GO:0030983	mismatched DNA binding	11	0	0.02	1.000
502	GO:0031072	heat shock protein binding	8	0	0.01	1.000
503	GO:0031127	alpha-(1,2)-fucosyltransferase activity	5	0	0.01	1.000
504	GO:0031369	translation initiation factor binding	5	0	0.01	1.000
505	GO:0031420	alkali metal ion binding	8	0	0.01	1.000
506	GO:0031625	ubiquitin protein ligase binding	6	0	0.01	1.000
507	GO:0031683	G-protein beta/gamma-subunit complex bin...	4	0	0.01	1.000
508	GO:0032296	double-stranded RNA-specific ribonucleas...	7	0	0.01	1.000
509	GO:0032549	ribonucleoside binding	4	0	0.01	1.000
510	GO:0032561	guanyl ribonucleotide binding	144	0	0.27	1.000
511	GO:0033218	amide binding	11	0	0.02	1.000
512	GO:0033743	peptide-methionine (R)-S-oxide reductase...	3	0	0.01	1.000
513	GO:0033764	steroid dehydrogenase activity, acting o...	22	0	0.04	1.000
514	GO:0033897	ribonuclease T2 activity	3	0	0.01	1.000
515	GO:0033926	glycopeptide alpha-N-acetylgalactosamini...	9	0	0.02	1.000
516	GO:0034061	DNA polymerase activity	11	0	0.02	1.000
517	GO:0034062	5'-3' RNA polymerase activity	42	0	0.08	1.000
518	GO:0034212	peptide N-acetyltransferase activity	9	0	0.02	1.000
519	GO:0035091	phosphatidylinositol binding	7	0	0.01	1.000
520	GO:0035251	UDP-glucosyltransferase activity	32	0	0.06	1.000
521	GO:0038023	signaling receptor activity	11	0	0.02	1.000
522	GO:0042054	histone methyltransferase activity	13	0	0.02	1.000
523	GO:0042132	fructose 1,6-bisphosphate 1-phosphatase ...	5	0	0.01	1.000
524	GO:0042277	peptide binding	4	0	0.01	1.000
525	GO:0042393	histone binding	20	0	0.04	1.000
526	GO:0042578	phosphoric ester hydrolase activity	128	0	0.24	1.000
527	GO:0042625	ATPase-coupled ion transmembrane transpo...	8	0	0.01	1.000
528	GO:0042626	ATPase-coupled transmembrane transporter...	50	0	0.09	1.000
529	GO:0042802	identical protein binding	4	0	0.01	1.000
530	GO:0042803	protein homodimerization activity	4	0	0.01	1.000
531	GO:0043021	ribonucleoprotein complex binding	5	0	0.01	1.000
532	GO:0043022	ribosome binding	3	0	0.01	1.000
533	GO:0043177	organic acid binding	22	0	0.04	1.000
534	GO:0043733	DNA-3-methylbase glycosylase activity	6	0	0.01	1.000
535	GO:0044389	ubiquitin-like protein ligase binding	6	0	0.01	1.000
536	GO:0044769	ATPase activity, coupled to transmembran...	8	0	0.01	1.000
537	GO:0044877	protein-containing complex binding	13	0	0.02	1.000
538	GO:0045182	translation regulator activity	46	0	0.09	1.000
539	GO:0045300	acyl-[acyl-carrier-protein] desaturase a...	4	0	0.01	1.000
540	GO:0045735	nutrient reservoir activity	3	0	0.01	1.000
541	GO:0046527	glucosyltransferase activity	50	0	0.09	1.000
542	GO:0046556	alpha-L-arabinofuranosidase activity	3	0	0.01	1.000
543	GO:0046873	metal ion transmembrane transporter acti...	55	0	0.1	1.000
544	GO:0046906	tetrapyrrole binding	197	0	0.37	1.000
545	GO:0046912	acyltransferase activity, acyl groups co...	7	0	0.01	1.000
546	GO:0046915	transition metal ion transmembrane trans...	4	0	0.01	1.000
547	GO:0046923	ER retention sequence binding	4	0	0.01	1.000
548	GO:0046933	proton-transporting ATP synthase activit...	7	0	0.01	1.000
549	GO:0046943	carboxylic acid transmembrane transporte...	15	0	0.03	1.000
550	GO:0046961	proton-transporting ATPase activity, rot...	8	0	0.01	1.000
551	GO:0047262	polygalacturonate 4-alpha-galacturonosyl...	17	0	0.03	1.000
552	GO:0047325	inositol tetrakisphosphate 1-kinase acti...	5	0	0.01	1.000
553	GO:0047623	adenosine-phosphate deaminase activity	3	0	0.01	1.000
554	GO:0047952	glycerol-3-phosphate dehydrogenase [NAD(...	5	0	0.01	1.000
555	GO:0048018	receptor ligand activity	3	0	0.01	1.000
556	GO:0048029	monosaccharide binding	6	0	0.01	1.000
557	GO:0048038	quinone binding	8	0	0.01	1.000
558	GO:0050136	NADH dehydrogenase (quinone) activity	4	0	0.01	1.000
559	GO:0050308	sugar-phosphatase activity	7	0	0.01	1.000
560	GO:0050660	flavin adenine dinucleotide binding	42	0	0.08	1.000
561	GO:0050661	NADP binding	16	0	0.03	1.000
562	GO:0050664	oxidoreductase activity, acting on NAD(P...	6	0	0.01	1.000
563	GO:0050997	quaternary ammonium group binding	8	0	0.01	1.000
564	GO:0051002	ligase activity, forming nitrogen-metal ...	3	0	0.01	1.000
565	GO:0051003	ligase activity, forming nitrogen-metal ...	3	0	0.01	1.000
566	GO:0051082	unfolded protein binding	30	0	0.06	1.000
567	GO:0051087	chaperone binding	13	0	0.02	1.000
568	GO:0051213	dioxygenase activity	21	0	0.04	1.000
569	GO:0051287	NAD binding	41	0	0.08	1.000
570	GO:0051536	iron-sulfur cluster binding	51	0	0.09	1.000
571	GO:0051537	2 iron, 2 sulfur cluster binding	10	0	0.02	1.000
572	GO:0051539	4 iron, 4 sulfur cluster binding	8	0	0.01	1.000
573	GO:0051540	metal cluster binding	51	0	0.09	1.000
574	GO:0051765	inositol tetrakisphosphate kinase activi...	5	0	0.01	1.000
575	GO:0051766	inositol trisphosphate kinase activity	6	0	0.01	1.000
576	GO:0051861	glycolipid binding	5	0	0.01	1.000
577	GO:0051998	protein carboxyl O-methyltransferase act...	3	0	0.01	1.000
578	GO:0052689	carboxylic ester hydrolase activity	34	0	0.06	1.000
579	GO:0052725	inositol-1,3,4-trisphosphate 6-kinase ac...	5	0	0.01	1.000
580	GO:0052726	inositol-1,3,4-trisphosphate 5-kinase ac...	5	0	0.01	1.000
581	GO:0060089	molecular transducer activity	11	0	0.02	1.000
582	GO:0060589	nucleoside-triphosphatase regulator acti...	17	0	0.03	1.000
583	GO:0060590	ATPase regulator activity	4	0	0.01	1.000
584	GO:0061134	peptidase regulator activity	11	0	0.02	1.000
585	GO:0061135	endopeptidase regulator activity	11	0	0.02	1.000
586	GO:0061733	peptide-lysine-N-acetyltransferase activ...	9	0	0.02	1.000
587	GO:0070001	aspartic-type peptidase activity	50	0	0.09	1.000
588	GO:0070003	threonine-type peptidase activity	20	0	0.04	1.000
589	GO:0070008	serine-type exopeptidase activity	42	0	0.08	1.000
590	GO:0070403	NAD+ binding	4	0	0.01	1.000
591	GO:0070566	adenylyltransferase activity	8	0	0.01	1.000
592	GO:0070568	guanylyltransferase activity	3	0	0.01	1.000
593	GO:0070569	uridylyltransferase activity	9	0	0.02	1.000
594	GO:0071949	FAD binding	11	0	0.02	1.000
595	GO:0080019	fatty-acyl-CoA reductase (alcohol-formin...	5	0	0.01	1.000
596	GO:0080048	GDP-D-glucose phosphorylase activity	4	0	0.01	1.000
597	GO:0090079	translation regulator activity, nucleic ...	46	0	0.09	1.000
598	GO:0090599	alpha-glucosidase activity	3	0	0.01	1.000
599	GO:0097747	RNA polymerase activity	42	0	0.08	1.000
600	GO:0098772	molecular function regulator activity	69	0	0.13	1.000
601	GO:0101005	deubiquitinase activity	6	0	0.01	1.000
602	GO:0106413	dihydrouridine synthase activity	4	0	0.01	1.000
603	GO:0120013	lipid transfer activity	5	0	0.01	1.000
604	GO:0120227	acyl-CoA binding	5	0	0.01	1.000
605	GO:0140097	catalytic activity, acting on DNA	61	0	0.11	1.000
606	GO:0140098	catalytic activity, acting on RNA	147	0	0.27	1.000
607	GO:0140101	catalytic activity, acting on a tRNA	74	0	0.14	1.000
608	GO:0140102	catalytic activity, acting on a rRNA	6	0	0.01	1.000
609	GO:0140103	catalytic activity, acting on a glycopro...	13	0	0.02	1.000
610	GO:0140104	molecular carrier activity	3	0	0.01	1.000
611	GO:0140299	small molecule sensor activity	10	0	0.02	1.000
612	GO:0140640	catalytic activity, acting on a nucleic ...	225	0	0.42	1.000
613	GO:0140657	ATP-dependent activity	231	0	0.43	1.000
614	GO:1901505	carbohydrate derivative transmembrane tr...	5	0	0.01	1.000
615	GO:1901567	fatty acid derivative binding	5	0	0.01	1.000
616	GO:1901681	sulfur compound binding	15	0	0.03	1.000
617	GO:1901682	sulfur compound transmembrane transporte...	9	0	0.02	1.000
618	GO:2001070	starch binding	4	0	0.01	1.000
